,0
2020-01-02,0.12512986771428775
2020-01-03,2.555217937676423
2020-01-04,2.2459176755507557
2020-01-05,3.1370585840135377
2020-01-06,5.160420866361405
2020-01-07,7.028509549161642
2020-01-08,5.280941566603579
2020-01-09,5.636428848392008
2020-01-10,5.589196813870884
2020-01-11,4.842335085800439
2020-01-12,6.063530866344205
2020-01-13,5.152169921941649
2020-01-14,6.889527165988193
2020-01-15,8.880756596869011
2020-01-16,9.711323197111204
2020-01-17,9.709186229417252
2020-01-18,9.337596539850228
2020-01-19,9.130788380000407
2020-01-20,8.523807953529664
2020-01-21,8.722323860887931
2020-01-22,7.584830398886851
2020-01-23,6.942962880876772
2020-01-24,5.859704151605711
2020-01-25,5.386642246144158
2020-01-26,4.876068009372814
2020-01-27,3.495745638160896
2020-01-28,3.4263984229405433
2020-01-29,3.214353828332579
2020-01-30,2.74253616453239
2020-01-31,3.330611481731788
2020-02-01,3.7697080442437487
2020-02-02,4.547353715269337
2020-02-03,2.868981005299749
2020-02-04,1.5229007438744468
2020-02-05,2.1789775112342102
2020-02-06,2.137253295025731
2020-02-07,1.8935728308293198
2020-02-08,1.9469103568297397
2020-02-09,1.776883339473009
2020-02-10,2.828260285579553
2020-02-11,2.391675223493568
2020-02-12,4.164864159977121
2020-02-13,5.607945131599485
2020-02-14,5.129579991264515
2020-02-15,4.365843332406294
2020-02-16,4.737065307939158
2020-02-17,5.228234602017379
2020-02-18,5.497391007405323
2020-02-19,5.522326656036526
2020-02-20,5.97252947527981
2020-02-21,7.289113062629302
2020-02-22,5.96292107396263
2020-02-23,5.452736751033415
2020-02-24,8.350468279778699
2020-02-25,7.990820804328393
2020-02-26,7.224693717672313
2020-02-27,7.875783227463214
2020-02-28,6.9969415193549205
2020-02-29,9.77879399262165
2020-03-01,11.952748219360672
2020-03-02,12.200740126341056
2020-03-03,11.078106946236064
2020-03-04,10.679831753585885
2020-03-05,9.16689108333682
2020-03-06,9.188009996441542
2020-03-07,8.901159853323996
2020-03-08,7.640535058186677
2020-03-09,6.304877818274282
2020-03-10,7.014950012629593
2020-03-11,6.00463654811714
2020-03-12,6.389165237743492
2020-03-13,3.731352497386822
2020-03-14,3.8255114878174337
2020-03-15,3.9688030094276527
2020-03-16,3.9621533966043074
2020-03-17,3.9467783486015375
2020-03-18,3.4479711878869947
2020-03-19,3.2549387644798045
2020-03-20,3.1886459996348617
2020-03-21,2.8365857062229995
2020-03-22,0.686945167022591
2020-03-23,1.3155430086766131
2020-03-24,0.200080368395124
2020-03-25,-0.10786119968778574
2020-03-26,1.1939110920053961
2020-03-27,-0.10819454494439884
2020-03-28,-0.5297181047918917
2020-03-29,-1.3515048866637278
2020-03-30,-0.41680295737301853
2020-03-31,0.046355244222248404
2020-04-01,-0.21249936461555186
2020-04-02,-0.7365522097781098
2020-04-03,-0.3820479155546431
2020-04-04,0.12961608423157478
2020-04-05,-1.2321986525521467
2020-04-06,-0.9990351722449372
2020-04-07,-0.3947300362113577
2020-04-08,-1.4348534202179106
2020-04-09,-0.611343278420843
2020-04-10,-1.0217688798831739
2020-04-11,-1.1555550775198693
2020-04-12,-1.141917057430123
2020-04-13,-1.2158244001719258
2020-04-14,-1.526393049063274
2020-04-15,-1.9894324645811594
2020-04-16,-1.9362326166793464
2020-04-17,-2.9035464527708172
2020-04-18,-1.9309691284798969
2020-04-19,-3.815792411588717
2020-04-20,-3.905883725376614
2020-04-21,-3.789927932468083
2020-04-22,-2.74440917192525
2020-04-23,-2.1185510258220055
2020-04-24,-1.8561950919847499
2020-04-25,-1.85099217799428
2020-04-26,-0.8301870231629047
2020-04-27,-0.9400927125727736
2020-04-28,-1.8939355295916873
2020-04-29,-1.2295511346583758
2020-04-30,-2.2216629934744634
2020-05-01,-2.4922408151947937
2020-05-02,-2.591441959437394
2020-05-03,-2.3583554340042814
2020-05-04,-3.232788863247421
2020-05-05,-3.26033168317693
2020-05-06,-2.3217185457552363
2020-05-07,-3.968517861990259
2020-05-08,-4.974889491791417
2020-05-09,-2.2356609431119097
2020-05-10,-1.8469048855281014
2020-05-11,-2.687853298754412
2020-05-12,-2.1437977979067373
2020-05-13,-1.216766726487256
2020-05-14,-0.22193704703404127
2020-05-15,-1.2721245487729882
